"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr20",19481843,19481976,134,"*","Intron (ENST00000328041.11/57419, intron 2 of 16)",20,19242302,19284596,42295,2,"100130264","ENST00000319682.2",-197247
"chr9",124504878,124504949,72,"*","Intron (ENST00000373588.9/2516, intron 1 of 6)",9,124500427,124507235,6809,2,"2516","ENST00000455734.1",2286
"chr1",67686382,67686485,104,"*","Promoter (<=1kb)",1,67685676,67686586,911,1,"1647","ENST00000484245.1",706
"chr8",144528964,144529032,69,"*","Promoter (<=1kb)",8,144528373,144529062,690,2,"414919","ENST00000527462.1",30
"chr16",55324582,55324681,100,"*","Promoter (<=1kb)",16,55324203,55330756,6554,1,"79190","ENST00000290552.8",379
"chr21",36157115,36157175,61,"*","Promoter (<=1kb)",21,36156938,36293877,136940,1,"9980","ENST00000685394.1",177
"chr11",1218923,1218998,76,"*","Exon (ENST00000654177.1/ENST00000654177.1, exon 1 of 2)",11,1223066,1239541,16476,1,"727897","ENST00000525715.5",-4068
"chr22",23849882,23849961,80,"*","Distal Intergenic",22,23856703,23886309,29607,1,"66035","ENST00000345044.10",-6742
"chr17",6651732,6651787,56,"*","Promoter (<=1kb)",17,6651762,6653476,1715,1,"388327","ENST00000542475.3",0
"chr16",68237548,68237613,66,"*","Promoter (<=1kb)",16,68233357,68238067,4711,2,"80004","ENST00000564382.5",454
"chr19",946471,946531,61,"*","Intron (ENST00000263620.8/1820, intron 3 of 8)",19,932565,964366,31802,1,"1820","ENST00000457152.3",13906
"chr6",18006489,18006555,67,"*","Distal Intergenic",6,17763693,17987635,223943,2,"63971","ENST00000259711.11",-18854
"chr7",4960626,4960697,72,"*","Promoter (1-2kb)",7,4909734,4959213,49480,2,"221938","ENST00000612910.1",-1413
"chr16",84183606,84183675,70,"*","Promoter (<=1kb)",16,84183273,84183751,479,2,"9013","ENST00000566183.1",76
